Token,SHAP_Value,Base_Value,Model,Category
staple,0.04928716295398772,0.03436540727852844,gating_fusion,eCommerce
international,0.03828445103135891,0.03436540727852844,gating_fusion,eCommerce
xml,0.03800685133319348,0.03436540727852844,gating_fusion,eCommerce
formatted,0.024189880001358688,0.03436540727852844,gating_fusion,eCommerce
service,0.018442416287143715,0.03436540727852844,gating_fusion,eCommerce
web,0.016576590671320446,0.03436540727852844,gating_fusion,eCommerce
office,-0.014861083385767415,0.03436540727852844,gating_fusion,eCommerce
category,-0.014546304766554385,0.03436540727852844,gating_fusion,eCommerce
resource,0.012310518184676766,0.03436540727852844,gating_fusion,eCommerce
exposing,0.008929818737669848,0.03436540727852844,gating_fusion,eCommerce
catalog,0.008929818737669848,0.03436540727852844,gating_fusion,eCommerce
api,0.005894912930671126,0.03436540727852844,gating_fusion,eCommerce
product,0.0035708902578335255,0.03436540727852844,gating_fusion,eCommerce
restful,0.0034964506630785763,0.03436540727852844,gating_fusion,eCommerce
response,0.0034498273162171245,0.03436540727852844,gating_fusion,eCommerce
