Token,SHAP_Value,Base_Value,Model,Category
pay,0.37131404823594494,0.0006732431938871741,weighted_fusion,Payments
thing,0.07151331676141126,0.0006732431938871741,weighted_fusion,Payments
automatically,0.05719197013604571,0.0006732431938871741,weighted_fusion,Payments
user,0.04819659893473727,0.0006732431938871741,weighted_fusion,Payments
account,0.046472492005705135,0.0006732431938871741,weighted_fusion,Payments
zipmark,0.027157405430933486,0.0006732431938871741,weighted_fusion,Payments
bill,0.01982191614297335,0.0006732431938871741,weighted_fusion,Payments
developer,0.017045989585256813,0.0006732431938871741,weighted_fusion,Payments
access,0.013434427022730233,0.0006732431938871741,weighted_fusion,Payments
integrate,0.01314317107971874,0.0006732431938871741,weighted_fusion,Payments
functionality,0.01314317107971874,0.0006732431938871741,weighted_fusion,Payments
rent,0.011146976863528835,0.0006732431938871741,weighted_fusion,Payments
api,0.00787224950545351,0.0006732431938871741,weighted_fusion,Payments
interested,0.0036115625625265796,0.0006732431938871741,weighted_fusion,Payments
allows,0.0032787621748866513,0.0006732431938871741,weighted_fusion,Payments
