Token,SHAP_Value,Base_Value,Model,Category
socialsecure,0.503480960498564,0.027732720598578453,weighted_fusion,Social
social,0.20188465233447708,0.027732720598578453,weighted_fusion,Social
community,0.19286168238613755,0.027732720598578453,weighted_fusion,Social
secured,-0.11543839574071833,0.027732720598578453,weighted_fusion,Social
participation,0.10491226019803435,0.027732720598578453,weighted_fusion,Social
protection,0.08025057020131499,0.027732720598578453,weighted_fusion,Social
networking,0.05420432596954263,0.027732720598578453,weighted_fusion,Social
secure,-0.05212943835861304,0.027732720598578453,weighted_fusion,Social
safety,0.04694795717351195,0.027732720598578453,weighted_fusion,Social
offer,-0.04336060688365251,0.027732720598578453,weighted_fusion,Social
involvement,-0.03985272590282627,0.027732720598578453,weighted_fusion,Social
engagement,0.021199146190404215,0.027732720598578453,weighted_fusion,Social
api,0.021179026807658374,0.027732720598578453,weighted_fusion,Social
system,-0.01823814401304293,0.027732720598578453,weighted_fusion,Social
security,0.012124302759978244,0.027732720598578453,weighted_fusion,Social
