category_name,precision,recall,f1-score,support,accuracy
Advertising,0.7037037037037037,0.7037037037037037,0.7037037037037037,27.0,0.7037037037037037
Analytics,0.7391304347826086,0.7727272727272727,0.7555555555555555,22.0,0.7727272727272727
Application Development,0.65,0.5909090909090909,0.6190476190476191,22.0,0.5909090909090909
Backend,0.7647058823529411,0.6190476190476191,0.6842105263157895,21.0,0.6190476190476191
Banking,0.8695652173913043,0.9090909090909091,0.888888888888889,22.0,0.9090909090909091
Bitcoin,0.7741935483870968,0.96,0.8571428571428571,25.0,0.96
Chat,0.8333333333333334,1.0,0.9090909090909091,20.0,1.0
Cloud,0.6896551724137931,0.8,0.7407407407407408,25.0,0.8
Data,0.6190476190476191,0.52,0.5652173913043478,25.0,0.52
Database,0.7142857142857143,0.6,0.6521739130434783,25.0,0.6
Domains,1.0,0.95,0.9743589743589743,20.0,0.95
Education,0.7619047619047619,0.64,0.6956521739130435,25.0,0.64
Email,0.8064516129032258,0.8928571428571429,0.8474576271186439,28.0,0.8928571428571429
Enterprise,0.41379310344827586,0.4,0.4067796610169491,30.0,0.4
Entertainment,0.6818181818181818,0.75,0.7142857142857143,20.0,0.75
Events,0.9444444444444444,0.7727272727272727,0.85,22.0,0.7727272727272727
File Sharing,0.9,0.9,0.9,20.0,0.9
Financial,0.76,0.6333333333333333,0.6909090909090909,30.0,0.6333333333333333
Games,0.9090909090909091,0.8,0.8510638297872342,25.0,0.8
Government,0.6764705882352942,0.7666666666666667,0.71875,30.0,0.7666666666666667
Images,0.85,0.85,0.85,20.0,0.85
Internet of Things,0.7083333333333334,0.7727272727272727,0.7391304347826088,22.0,0.7727272727272727
Mapping,0.7105263157894737,0.9,0.7941176470588235,30.0,0.9
Media,0.8461538461538461,0.55,0.6666666666666667,20.0,0.55
Medical,0.9090909090909091,0.9090909090909091,0.9090909090909091,22.0,0.9090909090909091
Messaging,0.8787878787878788,0.9666666666666667,0.9206349206349207,30.0,0.9666666666666667
Music,0.95,0.76,0.8444444444444444,25.0,0.76
News Services,0.9523809523809523,1.0,0.975609756097561,20.0,1.0
Office,0.6111111111111112,0.55,0.5789473684210527,20.0,0.55
Other,0.9523809523809523,0.9090909090909091,0.9302325581395349,22.0,0.9090909090909091
Payments,0.7567567567567568,0.9333333333333333,0.835820895522388,30.0,0.9333333333333333
Photos,0.75,0.96,0.8421052631578947,25.0,0.96
Project Management,0.8076923076923077,0.84,0.8235294117647058,25.0,0.84
Real Estate,0.9375,0.75,0.8333333333333334,20.0,0.75
Reference,0.2857142857142857,0.21428571428571427,0.24489795918367344,28.0,0.21428571428571427
Science,0.75,0.9,0.8181818181818182,30.0,0.9
Search,0.6176470588235294,0.75,0.6774193548387097,28.0,0.75
Security,0.8181818181818182,0.8571428571428571,0.8372093023255814,21.0,0.8571428571428571
Shipping,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0,0.9545454545454546
Social,0.967741935483871,1.0,0.9836065573770492,30.0,1.0
Sports,0.84375,0.9642857142857143,0.8999999999999999,28.0,0.9642857142857143
Stocks,0.9523809523809523,0.9090909090909091,0.9302325581395349,22.0,0.9090909090909091
Storage,0.8333333333333334,0.75,0.7894736842105262,20.0,0.75
Telephony,0.8275862068965517,0.8,0.8135593220338982,30.0,0.8
Tools,0.5238095238095238,0.36666666666666664,0.4313725490196078,30.0,0.36666666666666664
Transportation,0.8333333333333334,0.7142857142857143,0.7692307692307692,28.0,0.7142857142857143
Travel,0.7428571428571429,0.9285714285714286,0.8253968253968255,28.0,0.9285714285714286
Video,0.8333333333333334,0.7142857142857143,0.7692307692307692,28.0,0.7142857142857143
Weather,1.0,1.0,1.0,20.0,1.0
eCommerce,0.7333333333333333,0.7333333333333333,0.7333333333333333,30.0,0.7333333333333333
accuracy,0.7794830371567044,0.7794830371567044,0.7794830371567044,0.7794830371567044,
macro avg,0.7869971260609439,0.7837693121693121,0.7809276608477188,1238.0,
weighted avg,0.778221150088323,0.7794830371567044,0.774336453211659,1238.0,
