category_name,precision,recall,f1-score,support,accuracy
Advertising,0.7096774193548387,0.8148148148148148,0.7586206896551724,27.0,0.8148148148148148
Analytics,0.7391304347826086,0.7727272727272727,0.7555555555555555,22.0,0.7727272727272727
Application Development,0.6190476190476191,0.5909090909090909,0.6046511627906977,22.0,0.5909090909090909
Backend,0.6153846153846154,0.38095238095238093,0.47058823529411764,21.0,0.38095238095238093
Banking,0.7142857142857143,0.9090909090909091,0.8,22.0,0.9090909090909091
Bitcoin,0.78125,1.0,0.8771929824561403,25.0,1.0
Chat,0.9047619047619048,0.95,0.9268292682926829,20.0,0.95
Cloud,0.6538461538461539,0.68,0.6666666666666666,25.0,0.68
Data,0.7,0.56,0.6222222222222222,25.0,0.56
Database,0.7777777777777778,0.56,0.6511627906976745,25.0,0.56
Domains,1.0,0.9,0.9473684210526316,20.0,0.9
Education,0.8,0.64,0.7111111111111111,25.0,0.64
Email,0.7058823529411765,0.8571428571428571,0.7741935483870968,28.0,0.8571428571428571
Enterprise,0.35,0.23333333333333334,0.28,30.0,0.23333333333333334
Entertainment,0.8095238095238095,0.85,0.8292682926829269,20.0,0.85
Events,0.8636363636363636,0.8636363636363636,0.8636363636363636,22.0,0.8636363636363636
File Sharing,0.7916666666666666,0.95,0.8636363636363635,20.0,0.95
Financial,0.6071428571428571,0.5666666666666667,0.5862068965517241,30.0,0.5666666666666667
Games,0.7777777777777778,0.84,0.8076923076923077,25.0,0.84
Government,0.4772727272727273,0.7,0.5675675675675677,30.0,0.7
Images,0.7037037037037037,0.95,0.8085106382978724,20.0,0.95
Internet of Things,0.8260869565217391,0.8636363636363636,0.8444444444444444,22.0,0.8636363636363636
Mapping,0.6410256410256411,0.8333333333333334,0.7246376811594204,30.0,0.8333333333333334
Media,1.0,0.65,0.787878787878788,20.0,0.65
Medical,0.7777777777777778,0.9545454545454546,0.8571428571428572,22.0,0.9545454545454546
Messaging,0.717948717948718,0.9333333333333333,0.8115942028985509,30.0,0.9333333333333333
Music,0.9047619047619048,0.76,0.8260869565217391,25.0,0.76
News Services,0.9090909090909091,1.0,0.9523809523809523,20.0,1.0
Office,0.7222222222222222,0.65,0.6842105263157895,20.0,0.65
Other,0.8181818181818182,0.8181818181818182,0.8181818181818182,22.0,0.8181818181818182
Payments,0.675,0.9,0.7714285714285714,30.0,0.9
Photos,0.7777777777777778,0.84,0.8076923076923077,25.0,0.84
Project Management,0.7575757575757576,1.0,0.8620689655172413,25.0,1.0
Real Estate,0.9375,0.75,0.8333333333333334,20.0,0.75
Reference,0.2631578947368421,0.17857142857142858,0.2127659574468085,28.0,0.17857142857142858
Science,0.6764705882352942,0.7666666666666667,0.71875,30.0,0.7666666666666667
Search,0.6818181818181818,0.5357142857142857,0.6,28.0,0.5357142857142857
Security,0.85,0.8095238095238095,0.8292682926829269,21.0,0.8095238095238095
Shipping,0.9090909090909091,0.9090909090909091,0.9090909090909091,22.0,0.9090909090909091
Social,0.9375,1.0,0.967741935483871,30.0,1.0
Sports,0.8571428571428571,0.8571428571428571,0.8571428571428571,28.0,0.8571428571428571
Stocks,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0,0.9545454545454546
Storage,0.7368421052631579,0.7,0.717948717948718,20.0,0.7
Telephony,0.7666666666666667,0.7666666666666667,0.7666666666666667,30.0,0.7666666666666667
Tools,0.3333333333333333,0.06666666666666667,0.1111111111111111,30.0,0.06666666666666667
Transportation,0.8260869565217391,0.6785714285714286,0.7450980392156864,28.0,0.6785714285714286
Travel,0.8064516129032258,0.8928571428571429,0.8474576271186439,28.0,0.8928571428571429
Video,0.8461538461538461,0.7857142857142857,0.8148148148148148,28.0,0.7857142857142857
Weather,1.0,1.0,1.0,20.0,1.0
eCommerce,0.7692307692307693,0.6666666666666666,0.7142857142857142,30.0,0.6666666666666666
accuracy,0.7520193861066236,0.7520193861066236,0.7520193861066236,0.7520193861066236,
macro avg,0.755624171128657,0.7618140452140452,0.7504090117339378,1238.0,
weighted avg,0.7435897917198339,0.7520193861066236,0.7390992552485489,1238.0,
