category_name,precision,recall,f1-score,support,accuracy
Advertising,0.7619047619047619,0.5925925925925926,0.6666666666666666,27.0,0.5925925925925926
Analytics,0.52,0.5909090909090909,0.5531914893617023,22.0,0.5909090909090909
Application Development,0.55,0.5,0.5238095238095238,22.0,0.5
Backend,0.55,0.5238095238095238,0.5365853658536585,21.0,0.5238095238095238
Banking,0.8333333333333334,0.9090909090909091,0.8695652173913043,22.0,0.9090909090909091
Bitcoin,0.7692307692307693,0.8,0.7843137254901961,25.0,0.8
Chat,0.8421052631578947,0.8,0.8205128205128205,20.0,0.8
Cloud,0.7307692307692307,0.76,0.7450980392156863,25.0,0.76
Data,0.5652173913043478,0.52,0.5416666666666667,25.0,0.52
Database,0.68,0.68,0.68,25.0,0.68
Domains,1.0,0.9,0.9473684210526316,20.0,0.9
Education,0.75,0.6,0.6666666666666665,25.0,0.6
Email,0.8064516129032258,0.8928571428571429,0.8474576271186439,28.0,0.8928571428571429
Enterprise,0.3225806451612903,0.3333333333333333,0.32786885245901637,30.0,0.3333333333333333
Entertainment,0.72,0.9,0.7999999999999999,20.0,0.9
Events,0.8947368421052632,0.7727272727272727,0.8292682926829269,22.0,0.7727272727272727
File Sharing,0.75,0.75,0.75,20.0,0.75
Financial,0.6206896551724138,0.6,0.6101694915254238,30.0,0.6
Games,0.8333333333333334,0.8,0.816326530612245,25.0,0.8
Government,0.6176470588235294,0.7,0.65625,30.0,0.7
Images,0.6521739130434783,0.75,0.6976744186046512,20.0,0.75
Internet of Things,0.75,0.6818181818181818,0.7142857142857143,22.0,0.6818181818181818
Mapping,0.7647058823529411,0.8666666666666667,0.8125,30.0,0.8666666666666667
Media,0.7647058823529411,0.65,0.7027027027027027,20.0,0.65
Medical,0.85,0.7727272727272727,0.8095238095238095,22.0,0.7727272727272727
Messaging,0.6666666666666666,0.7333333333333333,0.6984126984126984,30.0,0.7333333333333333
Music,0.85,0.68,0.7555555555555556,25.0,0.68
News Services,1.0,0.95,0.9743589743589743,20.0,0.95
Office,0.6666666666666666,0.6,0.631578947368421,20.0,0.6
Other,0.8636363636363636,0.8636363636363636,0.8636363636363636,22.0,0.8636363636363636
Payments,0.7297297297297297,0.9,0.8059701492537312,30.0,0.9
Photos,0.6774193548387096,0.84,0.75,25.0,0.84
Project Management,0.7727272727272727,0.68,0.7234042553191491,25.0,0.68
Real Estate,1.0,0.65,0.787878787878788,20.0,0.65
Reference,0.16,0.14285714285714285,0.15094339622641512,28.0,0.14285714285714285
Science,0.6410256410256411,0.8333333333333334,0.7246376811594204,30.0,0.8333333333333334
Search,0.5454545454545454,0.6428571428571429,0.5901639344262296,28.0,0.6428571428571429
Security,0.9,0.8571428571428571,0.8780487804878048,21.0,0.8571428571428571
Shipping,0.875,0.9545454545454546,0.9130434782608695,22.0,0.9545454545454546
Social,0.967741935483871,1.0,0.9836065573770492,30.0,1.0
Sports,0.8333333333333334,0.8928571428571429,0.8620689655172413,28.0,0.8928571428571429
Stocks,0.9473684210526315,0.8181818181818182,0.8780487804878049,22.0,0.8181818181818182
Storage,0.6666666666666666,0.7,0.6829268292682926,20.0,0.7
Telephony,0.78125,0.8333333333333334,0.8064516129032259,30.0,0.8333333333333334
Tools,0.38461538461538464,0.3333333333333333,0.3571428571428571,30.0,0.3333333333333333
Transportation,0.8333333333333334,0.7142857142857143,0.7692307692307692,28.0,0.7142857142857143
Travel,0.7741935483870968,0.8571428571428571,0.8135593220338982,28.0,0.8571428571428571
Video,0.8181818181818182,0.6428571428571429,0.7200000000000001,28.0,0.6428571428571429
Weather,1.0,1.0,1.0,20.0,1.0
eCommerce,0.625,0.6666666666666666,0.6451612903225806,30.0,0.6666666666666666
accuracy,0.7237479806138933,0.7237479806138933,0.7237479806138933,0.7237479806138933,
macro avg,0.7375919251349697,0.7286579124579124,0.7295060405766159,1238.0,
weighted avg,0.7278441087824217,0.7237479806138933,0.7222296833183527,1238.0,
