feature,importance
video,0.6940411659083976
emailmanager,0.4824758619490793
banking,0.43481988832955737
cloud,0.26035024563079645
yodlee,0.18996914215531183
email,0.1691595999686033
qubole,0.14205880878093993
aws,0.07973219225010124
ipo,0.07504490895995342
provides,0.059590336645257216
azure,0.05905821514926603
commerce,0.05819038860048111
medium,0.0580736916573576
stock,0.056041749660213594
data,0.051895586847848466
api,0.0505687790083407
sending,0.04684899133930857
processing,0.04452201489200361
cart,0.04301541772191095
analytics,0.04242411967216509
