feature,importance
sbert_dim_205 <= -0.02,0.006700735989418994
sbert_dim_298 <= -0.02,0.006642891829775236
sbert_dim_115 <= -0.00,0.006059907482640341
sbert_dim_96 > 0.01,0.005821118587617949
sbert_dim_50 <= -0.07,0.00540999421736087
sbert_dim_192 > 0.02,0.005328215010903902
sbert_dim_31 > 0.04,0.004946531821957534
sbert_dim_275 > 0.03,0.0049318934134960635
sbert_dim_14 <= 0.02,0.004918652323515618
sbert_dim_27 <= -0.02,0.004826556715913666
sbert_dim_11 <= -0.03,0.004782892397679145
sbert_dim_328 <= -0.01,0.004772142582454236
sbert_dim_39 > 0.01,0.004708684716912734
sbert_dim_265 > 0.01,0.004701173992184704
sbert_dim_38 > 0.01,0.0046027701057237665
sbert_dim_174 <= -0.06,0.004583004581218232
sbert_dim_146 <= 0.02,0.004582260506991276
sbert_dim_142 > 0.05,0.0045175371854491424
sbert_dim_243 > 0.05,0.004485937765930477
sbert_dim_280 <= -0.01,0.004473694061181733
