feature,importance
nucleotide > 0.00,0.08392668711750917
api via > 0.00,0.06624923439146352
is marketing > 0.00,0.06438117151361208
legislation > 0.00,0.06240767080705264
ad > 0.00,0.05524616407388638
dna > 0.00,0.05229348562269424
sequence alignment > 0.00,0.05128624035024628
is program > 0.00,0.04903565436682425
bioinformatics institute > 0.00,0.04806573043029405
for device <= 0.00,0.04767351458849216
for performing > 0.00,0.04466581085961353
advertising > 0.00,0.043496584923592325
alignment > 0.00,0.04090693903800683
government <= 0.00,0.038374816424868514
eu > 0.00,0.03546951877719154
detail for <= 0.00,0.03505511996419999
advertising platform > 0.00,0.03412069018365581
european bioinformatics > 0.00,0.03388362909564119
storage > 0.00,0.030119077516396153
similarity > 0.00,0.029398697438930456
