feature,importance
nucleotide > 0.00,0.0640917498295785
legislation > 0.00,0.06031689859472469
is marketing > 0.00,0.058156597870254234
ad > 0.00,0.05453788134855253
api via > 0.00,0.04377323919341208
advertising > 0.00,0.04287431900578359
sequence alignment > 0.00,0.04171146909867643
messagebird <= 0.00,0.040697548047604545
bioinformatics institute > 0.00,0.03849118586269451
government <= 0.00,0.037847168188431396
for device <= 0.00,0.03717604719054945
eu > 0.00,0.03673721535165768
dna > 0.00,0.0366825870324498
is program > 0.00,0.036033093707929044
detail for <= 0.00,0.035439368815754616
for performing > 0.00,0.03509218032690385
alignment > 0.00,0.03475492354500925
advertising platform > 0.00,0.03429662891740602
protein > 0.00,0.033792767850006386
sequence > 0.00,0.032006001122740935
