feature,importance
socialemotion,0.20018203059487372
community,0.09638265491379991
social,0.0901175442960752
networking,0.07923110604646819
sentiment,0.07728507455115846
adgear,0.07726965870165099
advertising,0.07301812461253804
cryptocurrency,0.0719255873387702
advertisement,0.06739866788614772
emotion,0.06204300938148326
api,0.05009026301554782
ad,0.04907596637105657
sharing,0.04437713650344308
offer,0.04372720068876282
exchange,0.03719990308642177
language,0.03610547945834121
service,0.03545536780073301
is,0.03482007726051571
order,0.03258379832639832
intelligence,0.03181706746078835
