feature,importance
sbert_dim_170 > -0.02,0.004453684883305986
sbert_dim_286 <= -0.03,0.004011605825767634
sbert_dim_115 > 0.06,0.003897506624609583
sbert_dim_326 <= -0.02,0.003858984804626009
sbert_dim_279 > 0.06,0.0035575057991374197
sbert_dim_301 > 0.02,0.0034381237891793256
sbert_dim_328 <= -0.01,0.003403445624931706
sbert_dim_265 > 0.01,0.003320684423095188
sbert_dim_75 > 0.02,0.00324459656055851
sbert_dim_16 <= 0.01,0.0032357831132193552
sbert_dim_126 <= -0.01,0.0031862044192052467
sbert_dim_178 <= -0.04,0.003116996960830194
sbert_dim_246 > 0.04,0.0028341838684887003
sbert_dim_266 <= -0.05,0.0027389193840776935
sbert_dim_73 > 0.05,0.0026737350324446078
sbert_dim_237 <= -0.03,0.002643742753020126
sbert_dim_194 <= -0.01,0.002642568239286503
-0.01 < sbert_dim_328 <= 0.02,0.002516253415253665
sbert_dim_162 <= -0.01,0.002452505114856186
-0.01 < sbert_dim_178 <= 0.02,0.002322994322859059
