feature,importance
advertiser <= 0.00,0.18231988953648656
ad > 0.00,0.17447818077199273
advertising > 0.00,0.17370448816018288
protein > 0.00,0.14039521624178863
sequence > 0.00,0.14004078148095842
storage > 0.00,0.11578677036038189
search > 0.00,0.07603213261735303
campaign <= 0.00,0.07339718315424698
gene <= 0.00,0.07224229185364679
alignment > 0.00,0.07204259197379688
for performing > 0.00,0.06189972312033861
web map <= 0.00,0.057786666744542574
sequence alignment > 0.00,0.05735114296243946
bioinformatics institute > 0.00,0.05495984789618743
that customer <= 0.00,0.05459638668506352
feature restful > 0.00,0.04998396627005393
file <= 0.00,0.04761925974557886
free account <= 0.00,0.04585095401675248
content access <= 0.00,0.04568825926500886
is program > 0.00,0.04497698049433486
