feature,importance
advertiser <= 0.00,0.19280526440845186
advertising > 0.00,0.1742783420803516
protein > 0.00,0.1541323632344806
sequence > 0.00,0.15076144589041218
ad > 0.00,0.14789042611847714
storage > 0.00,0.10507401521061754
gene <= 0.00,0.07643783659258704
search > 0.00,0.07607401452764041
campaign <= 0.00,0.07202189239003474
alignment > 0.00,0.07063227526122018
nucleotide > 0.00,0.06360536582289393
biological <= 0.00,0.06265532717024319
between two <= 0.00,0.060203488933196374
achieve <= 0.00,0.059320396774679394
file <= 0.00,0.05455718113911321
population > 0.00,0.053681847187569014
specie <= 0.00,0.05233797322190339
video web <= 0.00,0.0480604413392478
is method <= 0.00,0.045656437824871915
adhere <= 0.00,0.0452869604474065
