feature,importance
sbert_dim_10 > 0.03,0.01935632496340476
sbert_dim_265 > 0.01,0.01603457103573615
sbert_dim_57 <= -0.01,0.015788167865202388
sbert_dim_42 <= -0.08,0.015613275676979453
sbert_dim_174 <= -0.06,0.014563274755951806
sbert_dim_14 <= 0.02,0.014542580581511446
sbert_dim_75 > 0.02,0.014378130247389815
sbert_dim_170 > -0.02,0.01419729632259855
sbert_dim_298 > 0.04,0.014175371519603385
sbert_dim_137 > -0.01,0.014148635639382887
sbert_dim_183 > 0.03,0.012339929899421105
sbert_dim_50 <= -0.07,0.01226081288016033
-0.08 < sbert_dim_34 <= -0.05,0.011208488545822655
sbert_dim_192 > 0.02,0.011045342817684557
sbert_dim_268 <= -0.04,0.010884354191135977
sbert_dim_371 <= -0.05,0.01050265024608327
sbert_dim_162 <= -0.01,0.009505860745220477
sbert_dim_9 <= -0.04,0.009450070971260601
sbert_dim_129 > 0.04,0.009427629744545918
sbert_dim_124 > 0.06,0.00916034740267327
