feature,importance
total <= 0.00,0.14277652856582018
document online <= 0.00,0.11173270878340034
bound <= 0.00,0.1094185524344411
build custom <= 0.00,0.1013628595034878
interpreting <= 0.00,0.09893359194753097
non commercial <= 0.00,0.09755448560230606
league <= 0.00,0.09624904355616035
image of <= 0.00,0.09506224027759122
extensive database <= 0.00,0.09313287199002881
platform create <= 0.00,0.0924371531784568
time provides <= 0.00,0.09203395537512316
for communication <= 0.00,0.0846789025814095
developer list <= 0.00,0.08286925534463124
freely available <= 0.00,0.08240138584143074
address phone <= 0.00,0.0784031533620343
difficulty <= 0.00,0.07799012752885907
city of <= 0.00,0.07772539404057607
transit <= 0.00,0.07550602710354161
any user <= 0.00,0.07085456777234703
custom application <= 0.00,0.07047309533664883
