feature,importance
total <= 0.00,0.1535772136813089
api event <= 0.00,0.14722393535035225
of local <= 0.00,0.13458771407284914
expression <= 0.00,0.13387039136501658
retrieving data <= 0.00,0.1267529206130063
individual business <= 0.00,0.12457479634741439
fitness <= 0.00,0.10099588087307665
mobile service <= 0.00,0.10038535842697935
search web <= 0.00,0.09374988572495785
locator <= 0.00,0.09228874348706341
mac <= 0.00,0.09223707666120258
of messaging <= 0.00,0.08934438471736499
data database <= 0.00,0.08919420531438765
league <= 0.00,0.08873735281860406
security stock <= 0.00,0.08717576430740719
string crud <= 0.00,0.0870406370380274
photographer <= 0.00,0.0851483857447153
receiving <= 0.00,0.08461280186501116
with provides <= 0.00,0.08454030727613975
user store <= 0.00,0.0833089118777852
