feature,importance
api,0.8937615092601502
liveperson,0.8323075894291123
chat,0.7403009940492249
bank,0.6658035814313388
of,0.5906974431140616
science,0.5755982202051926
storage,0.5088945403266151
scholar,0.4605075864069096
is,0.44109111185489336
mendeley,0.4393114669692948
loan,0.43671637802870444
currency,0.43459517704664896
data,0.36489966074253594
mapping,0.3647162899208884
credit,0.3576591450177265
government,0.34726307389098243
collaborate,0.30947589871313286
acus,0.2978915035131494
tool,0.29688967627921864
json,0.2934219768985499
allows,0.2738857876860312
non,0.2718157935745193
postcode,0.26967048907571556
you,0.2505110753286319
transcript,0.24521714099178443
platform,0.2440489546639202
customer,0.2415522389196177
for,0.23894255015216864
service,0.23464941688415164
communication,0.2270767516833941
business,0.22352207274193345
researcher,0.2220457706248345
nanosdk,0.2159123991285763
geo,0.21324017909497037
engagement,0.20751010062040123
anywhere,0.20686190308095692
document,0.1975623530810201
financial,0.195105324051897
advance,0.19316864956935895
build,0.1910820384917882
by,0.18960022837986934
institution,0.1854361707518788
mission,0.17672610271983558
office,0.1674487408216759
our,0.1664631527219112
information,0.16297296823827298
pricing,0.15585457535175357
contribute,0.1527041663451049
coding,0.15146731605162253
parliamentary,0.14644956910847293
usd,0.14140386073860592
world,0.13493624562278306
up,0.13460728531346777
singapore,0.13381974228770174
refill,0.13359603273437992
response,0.13345746910301942
analysis,0.13325068224687514
integration,0.13151711770797347
community,0.13108938410523266
provider,0.12327967611489678
key,0.12110649392702261
time,0.11830804665328233
open,0.11823540378756905
crm,0.1180807431621364
ma,0.11378498122873267
table,0.11378498122873267
over,0.11221642454566835
searching,0.10973390455055615
ire,0.1094092964116688
a,0.1093477799418414
inspired,0.10851651732383114
format,0.10541597325057905
user,0.1015194608183818
return,0.09916065943936393
storing,0.09877302836177577
route,0.09868799872700731
join,0.09842875289926989
real,0.09772059810616587
industry,0.09752694879473187
xml,0.09676190822873465
be,0.09616003665272488
life,0.09500030078417766
with,0.09489754851130394
restful,0.09405182448691082
constituency,0.09397044238187996
this,0.09347372167972898
your,0.09231342974392646
private,0.0914698928363853
request,0.08974705686340914
make,0.08952022696531967
historical,0.08841081241468439
price,0.0871997233303459
filtering,0.08713069020937256
including,0.08675832978066679
mail,0.08445390766642352
solution,0.08315571423369225
are,0.08176684618522362
demographic,0.0798964683822626
cleansing,0.07909995032448615
record,0.07885858257584956
end,0.07860039776299502
address,0.07838469176051674
history,0.0776761775275055
unit,0.07700665101915333
that,0.07578522316664302
provides,0.07472784254554754
planning,0.07343907228714856
purpose,0.07174330805042195
everyone,0.06840663829745601
offer,0.06685222952615415
all,0.06559810881419109
tax,0.06518381043140822
system,0.06463720836713958
across,0.06320379959073114
capture,0.06290546916626633
validation,0.06290546916626633
channeled,0.06262658943275301
consumer,0.061775623027803234
it,0.061707833677314944
offering,0.06081063990119613
area,0.05995868755329434
search,0.05971466756297736
copy,0.054923801490157846
soap,0.05478573657760273
number,0.0546265164372062
from,0.05439943415053513
need,0.054270094529210736
one,0.05394216026765107
authenticated,0.05358550564601348
transport,0.05351154434779863
if,0.05336303437450694
party,0.05218724251175071
yearly,0.05206272981486083
optimization,0.051712013312319616
can,0.051638816219631525
replace,0.05091301088816404
delete,0.05091301088816404
range,0.049673304537464
spend,0.0495313747279153
sends,0.04850330166748937
uk,0.04668002182524746
find,0.04668002182524746
access,0.04666348559324991
web,0.04526698835943819
microservices,0.04521869960662341
asian,0.044807517432926096
district,0.04464522621946047
us,0.04445099032152721
identification,0.04336175750896052
county,0.042753442765134805
formatted,0.04197617165113192
simple,0.041529353531405536
protocol,0.04129457862220443
efficiency,0.04074467468460135
csv,0.04074037503588929
friendly,0.04063915628941892
authorized,0.04059932465631861
consume,0.04059932465631861
html,0.04054057547485606
pdf,0.04054057547485606
whole,0.03972988255712621
balance,0.03881314639586205
professional,0.03876770320341969
individual,0.03876770320341969
separate,0.038495114291599665
rest,0.03825708938212317
set,0.03760759277074546
summarizes,0.03756556060004433
year,0.03756556060004433
agriculture,0.03681778371679134
mining,0.03681778371679134
explorer,0.036696579338069385
rpc,0.036642849804740106
expire,0.03628463727456157
supported,0.03628463727456157
authority,0.03563726246492441
ward,0.03563726246492441
per,0.03433249525862722
quarrying,0.03284202852464033
manufacturing,0.03284202852464033
different,0.03249601461752074
category,0.03249601461752074
function,0.03222125602777158
form,0.031812545825757016
id,0.03180947682153918
love,0.03180947682153918
eur,0.03152651942779112
postzon,0.031110357168096556
through,0.030872100219242644
com,0.030745235107559155
speed,0.030745235107559155
others,0.02993622651597321
covering,0.029636051142899907
broad,0.029636051142899907
application,0.029459120220212007
development,0.029459120220212007
such,0.029000681425618496
capability,0.028064356952297625
easier,0.027864560492268216
we,0.027864560492268216
allow,0.027469629169023034
retrieve,0.027469629169023034
create,0.027469629169023034
have,0.02726309710127083
enough,0.02726309710127083
least,0.02693768116317638
main,0.02634238335898912
classification,0.02634238335898912
include,0.02634238335898912
building,0.02610806181151363
construction,0.02610806181151363
general,0.02610806181151363
commerce,0.02610806181151363
facilitate,0.025756706316890796
any,0.02557662074842946
applicable,0.02557662074842946
exclusive,0.02535940502868001
moment,0.024577625142273025
header,0.024484639345405387
out,0.023412844770424768
do,0.023162040095642364
not,0.023162040095642364
combine,0.022244943004122504
royal,0.022244943004122504
when,0.021864198215467725
received,0.021864198215467725
validated,0.0214066690401263
local,0.021032947843144845
using,0.020714444961277688
third,0.020714444961277688
apis,0.01970863581572236
breakdown,0.01855115703282215
used,0.018040607467170105
includes,0.012979715111558118
total,0.012979715111558118
them,0.012831492752072541
