feature,importance
of,0.7676875
api,0.6527604166666666
liveperson,0.6209375000000001
is,0.52390625
you,0.37390625
bank,0.34968750000000004
postcode,0.3028125
loan,0.30171875
data,0.289375
mendeley,0.28625000000000006
chat,0.280625
json,0.2672395833333333
service,0.25859375
for,0.25
business,0.2415625
credit,0.23156249999999998
allows,0.23046875
by,0.21375
our,0.21036458333333333
nanosdk,0.20546875
customer,0.20078125000000002
collaborate,0.19999999999999998
scholar,0.19625000000000004
platform,0.19625
engagement,0.195625
anywhere,0.18406250000000002
tool,0.1809375
information,0.1640625
currency,0.154375
build,0.15437499999999998
advance,0.15359375
open,0.15
science,0.15
response,0.14879166666666668
a,0.14765625000000002
contribute,0.14625
over,0.1459375
inspired,0.145625
non,0.145625
community,0.1445833333333333
that,0.14375
format,0.14354166666666668
singapore,0.1425
up,0.141875
ire,0.13875
storage,0.13671875
transcript,0.135625
provider,0.1353125
key,0.13421875
researcher,0.1303125
communication,0.12984375
request,0.129625
ma,0.12875
world,0.126875
mission,0.12625
time,0.12593749999999998
government,0.12468749999999998
join,0.12437499999999999
mapping,0.1234375
return,0.12256249999999999
industry,0.12250000000000003
pricing,0.1196875
table,0.1184375
acus,0.11812500000000001
coding,0.1153125
document,0.11203125
all,0.1115625
this,0.10390624999999999
with,0.103125
if,0.103125
your,0.10296875
geo,0.10156249999999999
unit,0.10031250000000001
are,0.09765625
life,0.09656250000000001
refill,0.09375
price,0.09281249999999999
everyone,0.09249999999999999
be,0.09109375
real,0.0884375
solution,0.0878125
integration,0.0875
user,0.08609375
range,0.08249999999999999
make,0.08125
from,0.08124999999999999
purpose,0.07874999999999999
asian,0.07812500000000001
efficiency,0.0778125
analysis,0.0775
crm,0.0771875
system,0.0771875
history,0.07625000000000001
including,0.0759375
it,0.07578125
restful,0.07499999999999998
address,0.0728125
xml,0.07270833333333333
moment,0.07093750000000001
one,0.0709375
offering,0.0659375
provides,0.0653125
copy,0.063125
capture,0.0625
validation,0.0625
replace,0.062187500000000014
delete,0.062187500000000014
have,0.061250000000000006
enough,0.061250000000000006
storing,0.06125
searching,0.0609375
cleansing,0.06093749999999999
historical,0.060625
can,0.05984375
office,0.059687500000000004
end,0.05875
need,0.0578125
planning,0.057499999999999996
web,0.056875
channeled,0.056875
microservices,0.056718750000000005
friendly,0.056718750000000005
financial,0.056249999999999994
per,0.05593750000000001
filtering,0.055937499999999994
area,0.055625
across,0.055624999999999994
form,0.05468749999999999
route,0.0540625
protocol,0.053750000000000006
consumer,0.05359375
usd,0.053125000000000006
institution,0.05312499999999999
private,0.05312499999999999
expire,0.05203125
supported,0.05203125
offer,0.05171875
us,0.0509375
number,0.0509375
through,0.05046874999999999
optimization,0.049999999999999996
separate,0.0496875
any,0.049416666666666664
applicable,0.049416666666666664
tax,0.049416666666666664
yearly,0.0484375
mail,0.048125
postzon,0.048125
record,0.046875
exclusive,0.04674999999999999
facilitate,0.04624999999999999
simple,0.0459375
id,0.045000000000000005
love,0.045000000000000005
html,0.045
pdf,0.045
easier,0.044375
parliamentary,0.0440625
demographic,0.0440625
covering,0.04406249999999999
broad,0.04406249999999999
we,0.04343749999999999
identification,0.04343749999999999
such,0.042812499999999996
others,0.042499999999999996
spend,0.041875
professional,0.041562499999999995
individual,0.041562499999999995
eur,0.0409375
year,0.040625
sends,0.040624999999999994
explorer,0.04046875
set,0.04015625
authority,0.039218750000000004
ward,0.039218750000000004
district,0.039218750000000004
county,0.039218750000000004
constituency,0.03890625
soap,0.038281249999999996
function,0.037968749999999996
balance,0.0378125
com,0.037656249999999995
speed,0.037656249999999995
different,0.0371875
rest,0.03703125
summarizes,0.036875
category,0.035937500000000004
party,0.0353125
quarrying,0.03484375
manufacturing,0.03484375
using,0.034687499999999996
third,0.034687499999999996
formatted,0.03442708333333334
rpc,0.0340625
includes,0.034062499999999996
total,0.034062499999999996
agriculture,0.034062499999999996
mining,0.034062499999999996
csv,0.033281250000000005
authorized,0.03312500000000001
consume,0.03312500000000001
allow,0.033124999999999995
capability,0.033124999999999995
breakdown,0.03296875
application,0.032499999999999994
development,0.032499999999999994
access,0.0321875
retrieve,0.032031250000000004
create,0.032031250000000004
do,0.031874999999999994
not,0.031874999999999994
combine,0.0315625
royal,0.0315625
building,0.0315625
construction,0.0315625
general,0.031406250000000004
commerce,0.031406250000000004
authenticated,0.03125
classification,0.03078125
include,0.03078125
search,0.030625
main,0.03
transport,0.028906249999999998
validated,0.027343750000000003
whole,0.027031249999999996
uk,0.027031249999999996
find,0.027031249999999996
least,0.0265625
header,0.026562499999999996
used,0.02578125
apis,0.025468749999999995
when,0.025
received,0.025
out,0.024999999999999998
local,0.024999999999999998
them,0.024687499999999998
