Token,Score,Direction
journalist,0.42248254500098387,positive
weather,0.41346343812066744,positive
imagga,0.35573935878442947,positive
video,0.35022312856109017,positive
chat,0.35019046334510323,positive
liveperson,0.3436131390418187,positive
storage,0.33988435727396576,positive
api,0.327398665560969,positive
cryptocurrency,0.32634619280252947,positive
meteorological,0.3131755110988697,positive
bank,0.3090525475355716,positive
mailwriter,0.2926693721367091,positive
advertising,0.2692889308577582,positive
docker,0.22986773269984906,positive
mendix,0.2263809482963138,positive
