Token,Score,Direction
weather,1.1064144077733462,positive
game,0.42579147062010975,positive
image,0.3530615750725304,positive
ad,0.288100457671092,positive
advertising,0.2769462674014254,positive
bitcoin,0.2668241320909312,positive
chat,0.25209060176848097,positive
imagga,0.23482294899272713,positive
cryptocurrency,0.21470177709574526,positive
bank,0.20043568466560133,positive
meteorological,0.19732685959200913,positive
liveperson,0.19433249686485082,positive
mendix,0.1794566790714921,positive
government,0.161677520868886,positive
provides,0.15581049844354972,positive
