Token,Score,Direction
weather,0.4545964718433989,positive
api,0.35243578402482445,positive
meteorological,0.2644135623148378,positive
journalist,0.22481360773509784,positive
photo,0.2047727273143354,positive
liveperson,0.19465421076009223,positive
cryptocurrency,0.19165097867434727,positive
image,0.1840200931407995,positive
bank,0.14854317097032824,positive
provides,0.1480967065922486,positive
chat,0.13293660248309802,positive
imagga,0.13076521800893112,positive
selectedweather,0.12302781501962326,positive
bitcoin,0.12158254146730585,positive
coinaccel,0.09730533943884069,positive
