Token,Score,Direction
weather,0.8243114176286461,positive
bitcoin,0.4817259119207253,positive
game,0.41113154120361084,positive
government,0.3698455351152355,positive
photo,0.34975072325545736,positive
cryptocurrency,0.30925625565952586,positive
storage,0.2898989475970101,positive
meteorological,0.28376756806565817,positive
bank,0.2707355478912171,positive
advertising,0.2680058904202719,positive
image,0.24762288598462578,positive
mendix,0.2311311967388384,positive
provides,0.21755692994558654,positive
singapore,0.21030060059830516,positive
imagga,0.2070606318589121,positive
