Token,Score,Direction
mailwriter,0.6124217463004551,positive
bank,0.561401801002773,positive
liveperson,0.4976554263215474,positive
api,0.495440770632394,positive
storage,0.48748807057493687,positive
imagga,0.4268841535381853,positive
allows,0.42092748148990355,positive
journalist,0.3854504155647811,positive
game,0.3845923575840929,positive
weather,0.3724057599898529,positive
cryptocurrency,0.3346812115756001,positive
meteorological,0.30824529502170117,positive
chat,0.2741469045000932,positive
image,0.24863646809357157,positive
loan,0.2483841143815833,positive
