Token,Score,Direction
weather,1.8929537427293184,positive
photo,0.9504661566753857,positive
science,0.7909953616599004,positive
game,0.7277624347570918,positive
bitcoin,0.7274655143362684,positive
bank,0.67257306244424,positive
cloud,0.6638507643540486,positive
government,0.6126411363051778,positive
api,0.5156260689740056,positive
image,0.4739515391609667,positive
chat,0.4269516094595916,positive
advertising,0.40970492242640927,positive
support,0.3581074658411059,positive
cryptocurrency,0.3304270990263923,positive
ad,0.3201047698017396,positive
