Token,Score,Direction
storage,0.3252440162230989,positive
credit,-0.0915778830363841,negative
allow,0.059166895502539917,positive
document,0.04524174107905623,positive
offer,0.03371722359732752,positive
key,0.032737052351158,positive
balance,-0.029678081086298123,negative
function,0.026131380783884998,positive
refill,-0.022033660005831974,negative
replace,-0.019879593436482653,negative
tax,0.01955725388640596,positive
speed,0.019063453034640337,positive
service,0.01864538383092011,positive
request,0.015690191636601417,positive
price,0.015542418551048126,positive
