Token,Score,Direction
pay,0.02658543998530645,positive
mobile,0.024712543719391356,positive
online,0.02085721730058373,positive
user,-0.016063038592162703,negative
interested,0.014392430381787561,positive
documentation,0.013562930519114518,positive
public,0.010974363181813022,positive
create,-0.010766732329682508,negative
available,0.010012658592553798,positive
thing,-0.009718265061857415,negative
developer,0.009693043405849429,positive
account,0.00957701154897571,positive
sign,0.008954898573542371,positive
application,-0.008677028253781917,negative
new,-0.00846511191142734,negative
