Token,Score,Direction
price,0.10627813006163357,positive
nanosdk,0.0737573405310143,positive
storage,-0.04372428666248921,negative
api,0.035947089043492086,positive
simple,0.028447830887450277,positive
refill,0.020594332410019827,positive
application,-0.020471249993652893,negative
user,0.020009049117207477,positive
currency,-0.01803207342723487,negative
authenticated,0.01699591454340662,positive
retrieve,0.016895318631605948,positive
allows,0.016421033832047058,positive
document,0.014871315197147426,positive
allow,0.014550308025171314,positive
pricing,0.014164070561928916,positive
