Fidelity,Jaccard,Stability,model
0.9551,0.25,0.25,LogisticRegression_tfidf
0.9605,0.25,0.25,LogisticRegression_tfidf
0.9659,0.5,0.5,LogisticRegression_tfidf
0.9532,0.25,0.25,LogisticRegression_tfidf
0.9481,0.3636,0.3636,LogisticRegression_tfidf
0.7633,0.0,0.0,RandomForest_tfidf
0.9619,0.0,0.0,RandomForest_tfidf
0.9694,0.0,0.0,RandomForest_tfidf
0.9673,0.0,0.0,RandomForest_tfidf
0.9668,0.0,0.0,RandomForest_tfidf
0.7765,0.0714,0.0714,XGBoost_tfidf
0.8508,0.25,0.25,XGBoost_tfidf
0.902,0.25,0.25,XGBoost_tfidf
0.7751,0.0345,0.0345,XGBoost_tfidf
0.7173,0.0345,0.0345,XGBoost_tfidf
0.9136,0.0,0.0,LogisticRegression_sbert
0.9267,0.0,0.0,LogisticRegression_sbert
0.9285,0.0,0.0,LogisticRegression_sbert
0.9445,0.0,0.0,LogisticRegression_sbert
0.9131,0.0,0.0,LogisticRegression_sbert
0.8126,0.0,0.0,RandomForest_sbert
0.8141,0.0,0.0,RandomForest_sbert
0.9156,0.0,0.0,RandomForest_sbert
0.839,0.0,0.0,RandomForest_sbert
0.5288,0.0,0.0,RandomForest_sbert
0.7753,0.0,0.0,XGBoost_sbert
0.7387,0.0,0.0,XGBoost_sbert
0.8311,0.0,0.0,XGBoost_sbert
0.8711,0.0,0.0,XGBoost_sbert
0.7504,0.0,0.0,XGBoost_sbert
