Token,SHAP_Value
access information,-0.014694081871497636
sequence,-0.011505237633990304
delivers comprehensive,0.018017213601543833
saving account,0.01783659073735795
sensor,0.017793813701753876
weather,0.016359814991072377
storage service,0.01605690105021732
shipping,0.014940249260514703
patient,0.013994721978274253
education,0.013359176832770164
score,0.01276352053078049
egnyte application,0.012315911653097113
access api,0.01178423998447071
cd,0.011620621404815703
newsletter,0.013653921189435614
