Token,Score,Direction
Bitcoin,0.017023756823128667,positive
Banking,0.016763144540976146,positive
Email,0.016475055782304213,positive
Advertising,0.016412611433184145,positive
Education,0.016132274662883042,positive
Entertainment,0.01573445693766225,positive
Chat,0.015617318516267397,positive
Data,0.015449017748742317,positive
Database,0.01537503579938565,positive
Cloud,0.015357835866070455,positive
Analytics,0.015210660274683414,positive
Backend,0.01515665132212904,positive
Application Development,0.015047846370332357,positive
Domains,0.01498353373819742,positive
Enterprise,0.014488001494447168,positive
