Token,Score,Direction
Enterprise,0.0002319074599203778,positive
Analytics,0.00020230895039160317,positive
Data,0.00019896403163837878,positive
Email,0.00019794450731197344,positive
Database,0.00019788803275029254,positive
Application Development,0.00017593702190814986,positive
Backend,0.0001507843122961027,positive
Cloud,0.00014823227157900095,positive
Entertainment,0.00014554491286841357,positive
Bitcoin,0.00013627872586064997,positive
Education,0.0001358084061129265,positive
Advertising,0.00013161137261631835,positive
Banking,0.0001302237129339359,positive
Chat,0.00010926782983405607,positive
Domains,7.549606169059371e-05,positive
