Token,Score,Direction
Analytics,0.0005266478635111503,positive
Enterprise,0.0004950839105701377,positive
Email,0.0003098480648411987,positive
Advertising,0.00022057105398688254,positive
Bitcoin,0.00020906069236613354,positive
Banking,0.00020802757495570507,positive
Application Development,0.00019045796394133956,positive
Database,0.0001899750785390544,positive
Education,0.0001894377172932359,positive
Data,0.00018440481261378208,positive
Cloud,0.00018093320566920195,positive
Entertainment,0.00016658374250300742,positive
Chat,0.00014000268060278403,positive
Backend,0.0001392693791569768,positive
Domains,0.00013805456249879784,positive
