Token,Score,Direction
Enterprise,0.025702698156237602,positive
Analytics,0.024020226672291756,positive
Data,0.022961409762501717,positive
Advertising,0.022857798263430595,positive
Cloud,0.02178550697863102,positive
Database,0.02177398093044758,positive
Backend,0.021623818203806877,positive
Entertainment,0.021389687433838844,positive
Application Development,0.0211334191262722,positive
Education,0.020935088396072388,positive
Email,0.020347774028778076,positive
Bitcoin,0.01882452517747879,positive
Banking,0.018051648512482643,positive
Chat,0.014757994562387466,positive
Domains,0.014287110418081284,positive
