Token,Score,Direction
Data,0.001992390491068363,positive
Application Development,0.0018147301161661744,positive
Education,0.0016224608989432454,positive
Enterprise,0.001509345369413495,positive
Database,0.0014673080295324326,positive
Entertainment,0.0014437800273299217,positive
Bitcoin,0.0013972404412925243,positive
Advertising,0.0013823817716911435,positive
Banking,0.0013093824964016676,positive
Cloud,0.001293735345825553,positive
Analytics,0.0012788405874744058,positive
Chat,0.0009961433243006468,positive
Email,0.0009748422307893634,positive
Backend,0.0009617581381462514,positive
Domains,0.0009306655265390873,positive
