Token,Score,Direction
pay,0.37075431991402913,positive
online mobile,0.18195205875245632,positive
mobile,0.1537919458351536,positive
online,0.11256575880833915,positive
public documentation,0.11248460930015239,positive
bill,0.11161563098167104,positive
account,0.11072317028295418,positive
interested developer,0.10692391205818938,positive
interested,0.10532776017542149,positive
documentation available,0.10393608607497393,positive
sign,0.08785753470346057,positive
developer sign,0.08014371990302864,positive
integrate functionality,0.07850233852772319,positive
mobile application,0.07288191543742646,positive
data,0.06566843038494503,positive
