Token,Score,Direction
sm,0.06413739057912238,positive
messaging,0.06087678490904904,positive
mobile,0.027701180069379484,positive
service,-0.023131345380744548,negative
sending,0.021550062825181158,positive
lookup,-0.021220064760516497,negative
location,-0.020390049066692263,negative
gateway,0.0151485634834773,positive
api,-0.012792756578201543,negative
device,-0.011444538495199465,negative
report,-0.01143157039690574,negative
requesting,-0.011231687378973503,negative
geo,-0.009566232391184513,negative
multi,0.008668947036941908,positive
bulk,0.00858936797648555,positive
