Token,Score,Direction
xml,0.08064297348359147,positive
product,-0.07474965582194099,negative
staple,-0.07337001372101493,negative
international,0.07099481314798874,positive
exposed,-0.04885630813435792,negative
category,0.029675686502583596,positive
functionality,-0.023969086364680366,negative
detail,0.023544083079452518,positive
api,-0.023533451852031238,negative
formatted,0.020818849433517073,positive
catalog,0.0200921596494006,positive
response,0.019919726255974178,positive
resource,0.018729072831985296,positive
web,0.01627932403331922,positive
restful,0.012007570270698646,positive
