Token,Score,Direction
provide access,0.00750601617688524,positive
xignite,0.0071759594582518505,positive
utility,0.007101227304074408,positive
geography,0.007055066597880146,positive
providing access,0.00691594105541745,positive
whois,0.0069061302896466685,positive
event listing,0.006875909376313096,positive
discount,0.006788653416387109,positive
video game,0.006729728337045589,positive
compound,0.006461481361153379,positive
access real,0.006354452948271242,positive
daily deal,0.006336983909228115,positive
eight,0.0062650301133878135,positive
exchange,0.006188871442618676,positive
betting,0.006164234720074286,positive
