Token,SHAP_Value,Base_Value,Model,Category
delivers comprehensive,0.018017213601543833,0.0244354675823066,RandomForest,Messaging
saving account,0.01783659073735795,0.0244354675823066,RandomForest,Messaging
sensor,0.017793813701753876,0.0244354675823066,RandomForest,Messaging
weather,0.016359814991072377,0.0244354675823066,RandomForest,Messaging
storage service,0.01605690105021732,0.0244354675823066,RandomForest,Messaging
shipping,0.014940249260514703,0.0244354675823066,RandomForest,Messaging
patient,0.013994721978274253,0.0244354675823066,RandomForest,Messaging
education,0.013359176832770164,0.0244354675823066,RandomForest,Messaging
score,0.01276352053078049,0.0244354675823066,RandomForest,Messaging
egnyte application,0.012315911653097113,0.0244354675823066,RandomForest,Messaging
access api,0.01178423998447071,0.0244354675823066,RandomForest,Messaging
cd,0.011620621404815703,0.0244354675823066,RandomForest,Messaging
phone number,0.011431587046199737,0.0244354675823066,RandomForest,Messaging
available access,0.011107796779381705,0.0244354675823066,RandomForest,Messaging
delivery service,0.011063366471166472,0.0244354675823066,RandomForest,Messaging
