Token,SHAP_Value,Base_Value,Model,Category
access information,-0.014694081871497636,0.024049686931932927,RandomForest,Payments
sequence,-0.011505237633990304,0.024049686931932927,RandomForest,Payments
space,-0.01069720355264703,0.024049686931932927,RandomForest,Payments
sm,-0.01023953189882755,0.024049686931932927,RandomForest,Payments
range application,-0.009479362829768904,0.024049686931932927,RandomForest,Payments
file user,-0.009332678732551643,0.024049686931932927,RandomForest,Payments
chemical,-0.008877584857001193,0.024049686931932927,RandomForest,Payments
educational,-0.008672657495248098,0.024049686931932927,RandomForest,Payments
client side,-0.0085671104741469,0.024049686931932927,RandomForest,Payments
api sandbox,-0.008395099207038768,0.024049686931932927,RandomForest,Payments
vacation rental,0.008390040249477282,0.024049686931932927,RandomForest,Payments
tv,-0.007953509365364498,0.024049686931932927,RandomForest,Payments
movie,-0.007942383555436671,0.024049686931932927,RandomForest,Payments
freely,-0.007908681656877426,0.024049686931932927,RandomForest,Payments
voip,-0.007780144485780727,0.024049686931932927,RandomForest,Payments
