Token,SHAP_Value,Base_Value,Model,Category
vin,0.008187700604355566,0.024315289840436276,RandomForest,Social
geocoding,0.006859518352125446,0.024315289840436276,RandomForest,Social
ad,0.006829366829555521,0.024315289840436276,RandomForest,Social
carrier,0.006752367961936603,0.024315289840436276,RandomForest,Social
dutch,0.006701216806873558,0.024315289840436276,RandomForest,Social
allows offer,0.006618976455983614,0.024315289840436276,RandomForest,Social
map service,0.006618976455983614,0.024315289840436276,RandomForest,Social
bus,0.006512268212715789,0.024315289840436276,RandomForest,Social
imagery,0.006455163974645788,0.024315289840436276,RandomForest,Social
coding,0.0064421471665411624,0.024315289840436276,RandomForest,Social
uploading,0.00638958399667118,0.024315289840436276,RandomForest,Social
bitcoin,0.006344044112814513,0.024315289840436276,RandomForest,Social
calling,0.006294200487064294,0.024315289840436276,RandomForest,Social
split dividend,0.006235678662043623,0.024315289840436276,RandomForest,Social
godaddy,0.006234392005692167,0.024315289840436276,RandomForest,Social
