Token,SHAP_Value,Base_Value,Model,Category
newsletter,0.013653921189435614,0.01640476671379519,RandomForest,Storage
responds,-0.011281619374643207,0.01640476671379519,RandomForest,Storage
sport,-0.010368221523065607,0.01640476671379519,RandomForest,Storage
api offer,-0.010254220898098122,0.01640476671379519,RandomForest,Storage
algorithm,0.010230724900927112,0.01640476671379519,RandomForest,Storage
biomedical,0.00801267277702673,0.01640476671379519,RandomForest,Storage
comprehensive shipping,0.007873832519824486,0.01640476671379519,RandomForest,Storage
programmatic,-0.007714574650015731,0.01640476671379519,RandomForest,Storage
stock,-0.007619423820622912,0.01640476671379519,RandomForest,Storage
possible developer,0.00741518294158731,0.01640476671379519,RandomForest,Storage
messenger,-0.007334702766920014,0.01640476671379519,RandomForest,Storage
parliament,0.007320753754673253,0.01640476671379519,RandomForest,Storage
note,0.007280842617384447,0.01640476671379519,RandomForest,Storage
dow jones,0.007029891662860494,0.01640476671379519,RandomForest,Storage
iot,-0.006301202373712936,0.01640476671379519,RandomForest,Storage
