Token,SHAP_Value,Base_Value,Model,Category
provide access,0.00750601617688524,0.024240557463138763,RandomForest,eCommerce
xignite,0.0071759594582518505,0.024240557463138763,RandomForest,eCommerce
utility,0.007101227304074408,0.024240557463138763,RandomForest,eCommerce
geography,0.007055066597880146,0.024240557463138763,RandomForest,eCommerce
providing access,0.00691594105541745,0.024240557463138763,RandomForest,eCommerce
whois,0.0069061302896466685,0.024240557463138763,RandomForest,eCommerce
event listing,0.006875909376313096,0.024240557463138763,RandomForest,eCommerce
discount,0.006788653416387109,0.024240557463138763,RandomForest,eCommerce
video game,0.006729728337045589,0.024240557463138763,RandomForest,eCommerce
compound,0.006461481361153379,0.024240557463138763,RandomForest,eCommerce
access real,0.006354452948271242,0.024240557463138763,RandomForest,eCommerce
daily deal,0.006336983909228115,0.024240557463138763,RandomForest,eCommerce
eight,0.0062650301133878135,0.024240557463138763,RandomForest,eCommerce
exchange,0.006188871442618676,0.024240557463138763,RandomForest,eCommerce
betting,0.006164234720074286,0.024240557463138763,RandomForest,eCommerce
