Token,SHAP_Value,Base_Value,Model,Category
sm,4.690291881561279,0.39273929595947266,XGBoost,Messaging
messaging,1.360388994216919,0.39273929595947266,XGBoost,Messaging
api,-0.43692439794540405,0.39273929595947266,XGBoost,Messaging
voice,0.42985808849334717,0.39273929595947266,XGBoost,Messaging
engagement,0.41577672958374023,0.39273929595947266,XGBoost,Messaging
message,-0.3640104830265045,0.39273929595947266,XGBoost,Messaging
chat,0.3468221127986908,0.39273929595947266,XGBoost,Messaging
contact,-0.2993299961090088,0.39273929595947266,XGBoost,Messaging
search,-0.2697657346725464,0.39273929595947266,XGBoost,Messaging
send receive,0.24985316395759583,0.39273929595947266,XGBoost,Messaging
directly,0.23452256619930267,0.39273929595947266,XGBoost,Messaging
used,-0.20228613913059235,0.39273929595947266,XGBoost,Messaging
service,-0.1959410458803177,0.39273929595947266,XGBoost,Messaging
based,-0.18455110490322113,0.39273929595947266,XGBoost,Messaging
access,-0.1788017451763153,0.39273929595947266,XGBoost,Messaging
