Token,SHAP_Value,Base_Value,Model,Category
problem,1.7273997068405151,0.7109655141830444,XGBoost,Payments
method support,-0.6212043762207031,0.7109655141830444,XGBoost,Payments
webservice,0.5340983867645264,0.7109655141830444,XGBoost,Payments
using,0.48738181591033936,0.7109655141830444,XGBoost,Payments
developing,0.47411224246025085,0.7109655141830444,XGBoost,Payments
testing service,0.4406132102012634,0.7109655141830444,XGBoost,Payments
tablet,0.38927891850471497,0.7109655141830444,XGBoost,Payments
speech,0.36550354957580566,0.7109655141830444,XGBoost,Payments
service,-0.30585306882858276,0.7109655141830444,XGBoost,Payments
create,0.3043089807033539,0.7109655141830444,XGBoost,Payments
allows user,0.2998456656932831,0.7109655141830444,XGBoost,Payments
file data,0.2992170453071594,0.7109655141830444,XGBoost,Payments
tool,0.2915247678756714,0.7109655141830444,XGBoost,Payments
product,-0.2894734740257263,0.7109655141830444,XGBoost,Payments
access,-0.28495728969573975,0.7109655141830444,XGBoost,Payments
