Token,SHAP_Value,Base_Value,Model,Category
networking,6.147993564605713,-1.7174086570739746,XGBoost,Social
community,2.0932765007019043,-1.7174086570739746,XGBoost,Social
social,1.6158182621002197,-1.7174086570739746,XGBoost,Social
feature,0.7895196676254272,-1.7174086570739746,XGBoost,Social
allows,-0.6776800155639648,-1.7174086570739746,XGBoost,Social
api,0.5414665341377258,-1.7174086570739746,XGBoost,Social
application,-0.5199612975120544,-1.7174086570739746,XGBoost,Social
service,-0.40710294246673584,-1.7174086570739746,XGBoost,Social
access,-0.3841276168823242,-1.7174086570739746,XGBoost,Social
group,0.2119314968585968,-1.7174086570739746,XGBoost,Social
engagement,0.20872053503990173,-1.7174086570739746,XGBoost,Social
user,-0.1867801398038864,-1.7174086570739746,XGBoost,Social
developer,-0.11083872616291046,-1.7174086570739746,XGBoost,Social
api offer,0.10956042259931564,-1.7174086570739746,XGBoost,Social
data,-0.09985946863889694,-1.7174086570739746,XGBoost,Social
