Token,SHAP_Value,Base_Value,Model,Category
loyalty,1.6610883474349976,0.5054630637168884,XGBoost,Storage
ecommerce,1.5641798973083496,0.5054630637168884,XGBoost,Storage
commerce,1.0084315538406372,0.5054630637168884,XGBoost,Storage
payment,-0.9758884906768799,0.5054630637168884,XGBoost,Storage
price,0.7046065330505371,0.5054630637168884,XGBoost,Storage
user information,0.607638955116272,0.5054630637168884,XGBoost,Storage
electronics,0.5298868417739868,0.5054630637168884,XGBoost,Storage
developer,-0.5246737599372864,0.5054630637168884,XGBoost,Storage
order,0.5222851634025574,0.5054630637168884,XGBoost,Storage
product,0.41375303268432617,0.5054630637168884,XGBoost,Storage
discount,0.3566606938838959,0.5054630637168884,XGBoost,Storage
review,0.349178671836853,0.5054630637168884,XGBoost,Storage
web,-0.34163618087768555,0.5054630637168884,XGBoost,Storage
monetize,0.30669865012168884,0.5054630637168884,XGBoost,Storage
marketplace,0.29095259308815,0.5054630637168884,XGBoost,Storage
