Token,SHAP_Value,Base_Value,Model,Category
loyalty,1.6731961965560913,0.5054630637168884,XGBoost,eCommerce
product,1.3675683736801147,0.5054630637168884,XGBoost,eCommerce
commerce,1.1000276803970337,0.5054630637168884,XGBoost,eCommerce
payment,-0.8857091069221497,0.5054630637168884,XGBoost,eCommerce
order,0.7223168015480042,0.5054630637168884,XGBoost,eCommerce
user information,0.607638955116272,0.5054630637168884,XGBoost,eCommerce
developer,-0.5800175666809082,0.5054630637168884,XGBoost,eCommerce
electronics,0.5570966601371765,0.5054630637168884,XGBoost,eCommerce
review,0.38345032930374146,0.5054630637168884,XGBoost,eCommerce
discount,0.3736632764339447,0.5054630637168884,XGBoost,eCommerce
marketplace,0.29501625895500183,0.5054630637168884,XGBoost,eCommerce
local,0.2783908545970917,0.5054630637168884,XGBoost,eCommerce
device,0.2622406482696533,0.5054630637168884,XGBoost,eCommerce
monetize,0.25943663716316223,0.5054630637168884,XGBoost,eCommerce
ecommerce,0.25909534096717834,0.5054630637168884,XGBoost,eCommerce
