Categories,Model_Type,Model,Feature,Accuracy,Precision,Recall,F1-Score,Top-1,Top-3,Top-5,Training_Time,Inference_Time
50,ML,LogisticRegression,tfidf,0.7981,0.8246,0.8007,0.8068,0.7981,0.9208,0.9507,4.8249,0.0115
50,ML,RandomForest,tfidf,0.7601,0.7751,0.7702,0.7657,0.7601,0.8893,0.9233,2.7957,0.0709
50,ML,XGBoost,tfidf,0.7423,0.764,0.7502,0.7536,0.7423,0.874,0.912,34.2866,0.0941
50,ML,LogisticRegression,sbert,0.7868,0.7948,0.7913,0.7892,0.7868,0.92,0.9556,2.7878,0.0398
50,ML,RandomForest,sbert,0.752,0.7556,0.7618,0.7504,0.752,0.8667,0.9055,3.7822,0.0712
50,ML,XGBoost,sbert,0.7254,0.737,0.7298,0.7289,0.7254,0.9015,0.9435,134.4798,0.0372
50,DL,BiLSTM,tfidf,0.7803,0.7934,0.7887,0.7878,0.7803,0.891,0.9233,29.935,1.4952
50,DL,BiLSTM,sbert,0.7528,0.7607,0.7598,0.7537,0.7528,0.8998,0.9426,19.3015,1.15
50,BERT,RoBERTa_Base_raw,text,0.7763,0.7824,0.782,0.7758,0.7763,0.8982,0.9273,711.4845,8.5848
50,BERT,RoBERTa_Large_raw,text,0.8086,0.8129,0.8155,0.8105,0.8086,0.9087,0.9443,2419.9855,30.2016
50,DEEPSEEK,DeepSeek_7B_Base_raw,text,0.8045,0.8115,0.8076,0.8054,0.8045,0.9289,0.9556,7174.5117,85.7695
50,FUSION,DeepSeek_RoBERTa_Fusion,Concat,0.7964,0.8027,0.8018,0.796,0.7964,0.9338,0.9685,2537.0537,19.1562
50,FUSION,DeepSeek_RoBERTa_Fusion,Average,0.8037,0.8092,0.8104,0.8036,0.8037,0.9297,0.9653,2525.6359,19.2763
50,FUSION,DeepSeek_RoBERTa_Fusion,Weighted,0.7981,0.8009,0.8029,0.7956,0.7981,0.9402,0.9645,2523.0843,19.2074
50,FUSION,DeepSeek_RoBERTa_Fusion,Gating,0.8005,0.8058,0.8056,0.8009,0.8005,0.9386,0.9653,2531.2413,19.2257
